TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_UF_PROVA;SG_UF_PROVA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO
2;F;0;4;1;2;0;4;1;0;15;PA;534.2;611.4;517.9;496.3;360
3;F;0;4;1;1;1;1;1;0;15;PA;506.9;477.8;495.3;440.6;420
3;M;0;0;1;2;0;2;1;0;31;MG;470.6;473.8;534.4;410.4;600
2;F;0;3;1;2;0;4;1;0;15;PA;588.9;663.3;614.5;711.5;800
11;F;0;5;1;1;6;1;1;0;26;PE;477.8;621.5;519.4;543.1;500
2;F;0;3;1;2;0;2;1;0;31;MG;415.9;485.6;512.5;534.9;540
13;F;1;1;1;1;12;1;1;0;33;RJ;518.5;595.7;454;406.4;340
12;F;0;1;1;1;12;1;1;0;42;SC;601.7;675.5;631.3;524.8;720
4;F;0;3;1;1;2;1;1;0;31;MG;577.5;557.9;464.5;535.1;680
12;M;0;1;1;1;3;1;;0;33;RJ;494.8;539.6;527.3;601.4;580
3;M;0;1;1;1;1;1;;0;23;CE;;;;;
2;F;0;0;1;2;0;2;1;0;29;BA;531.8;613.7;575;481.6;680
4;F;;3;1;2;0;2;3;0;53;DF;;;;;
2;F;0;3;1;2;0;2;1;0;15;PA;489.6;495.7;509.3;586.5;580
7;F;0;3;1;1;4;1;1;0;53;DF;469.4;515.2;437;395.3;340
4;F;1;1;1;1;2;1;1;0;35;SP;504.5;597.4;569.5;518.6;580
3;F;0;4;1;2;0;2;1;0;28;SE;500.5;436.7;473.9;493.7;580
12;F;1;1;1;1;12;1;1;0;52;GO;497.2;615.3;566.1;444.9;500
6;F;0;3;1;1;4;1;;0;21;MA;384.4;511.6;556;422.4;540
3;M;0;3;1;2;0;2;1;0;33;RJ;562.5;580.4;530.5;383.4;580
12;F;1;3;1;1;12;1;1;0;26;PE;;;;;
4;F;0;3;1;1;1;1;;0;35;SP;409.3;481.8;456.7;438;280
3;F;0;1;1;1;1;1;;0;35;SP;;633.4;617.2;;780
3;F;0;1;1;1;1;1;1;0;26;PE;;;;;
8;F;0;3;1;1;5;1;1;0;25;PB;428.3;591.9;478.8;393.3;380
10;F;0;2;1;4;0;1;;0;23;CE;;;;;
5;F;0;3;1;1;1;1;;0;32;ES;506.2;634.5;488.7;489.3;740
11;M;0;1;1;1;9;1;1;0;35;SP;567.9;655.7;599.3;467.8;520
9;F;;3;1;1;3;1;3;0;31;MG;388.9;420.2;432.6;395.8;320
4;M;0;2;1;1;1;1;1;0;52;GO;428.5;507.4;467.1;690.3;620
7;F;0;2;1;1;3;1;3;0;31;MG;506.1;555.8;527.7;426.1;400
11;F;0;3;1;3;0;1;;0;31;MG;;;;;
4;F;0;4;1;2;0;2;1;0;29;BA;365.2;415.8;518.2;447.8;360
2;F;0;3;1;2;0;2;1;0;15;PA;454.8;584.4;474.9;523.5;680
5;M;0;1;1;1;3;1;;0;33;RJ;;;;;
11;F;0;1;1;1;6;1;3;0;32;ES;410.7;529;496.6;417.1;340
3;F;0;3;1;1;1;1;1;0;28;SE;397.1;535.9;540.8;443.3;540
2;F;0;3;1;2;0;2;1;0;15;PA;421.5;596.6;526.8;491.9;640
6;F;0;1;1;1;1;1;;0;29;BA;390.7;542.6;538.1;406.7;360
3;F;0;3;1;1;1;1;1;0;29;BA;538.1;640.1;605.7;665.5;700
13;M;1;3;1;1;12;1;1;0;35;SP;459;596.1;370.8;499.6;480
4;F;0;2;1;1;1;1;;0;31;MG;436;538.9;446.5;451.2;360
4;F;0;3;1;1;2;1;1;0;17;TO;608.5;670.6;595.3;556.2;940
4;F;0;3;1;1;1;1;;0;42;SC;;443.7;457.9;;360
15;F;1;1;1;1;5;1;3;0;35;SP;;;;;
3;F;0;3;1;1;1;1;1;0;31;MG;433.7;577.1;432.8;391.4;320
3;F;0;1;1;2;0;2;1;0;43;RS;558.6;647.2;634.6;551;660
15;F;1;3;1;1;12;1;1;0;31;MG;417.9;628.5;502.5;520.9;740
12;M;1;2;1;1;10;1;1;0;32;ES;419.8;427.9;540.5;537.2;360
8;M;0;3;1;1;5;1;;0;31;MG;447.9;624.9;556.5;535.1;500
13;F;1;2;1;1;12;1;1;0;24;RN;502.1;595.5;523.4;381;300
1;F;0;3;1;2;0;4;1;0;35;SP;723.3;719.1;622.9;764.5;700
6;F;0;3;1;1;3;1;;0;17;TO;636.7;716.8;705.3;705.4;860
4;M;0;1;1;2;0;1;1;0;43;RS;613.4;617;599.3;720.1;820
10;M;0;3;1;1;9;1;1;0;15;PA;591.6;691.5;620.7;711.9;360
4;F;0;3;1;1;1;1;1;0;35;SP;524.8;632.3;602.5;633.6;740
3;F;0;1;1;1;1;1;1;0;33;RJ;468.1;662.5;608.9;475.8;600
